sample	marker
CRH01	anura-00895_sacs-ex2
CRH01	anura-04275_klhl8-ex2
CRH01	anura-05626_pdp1
CRH01	ranoidea-02359_znf219
CRH01	anura-00539_camsap3
CRH01	ranoidea-03312_anon-1888
CRH01	anura-00500_aftph-ex2
CRH01	anura-01752_klhl11-ex2
CRH01	ranoidea-00110_heca
CRH01	anura-05623_det1-ex2
CRH01	anura-05760_uce-1598
CRH01	anura-04222_rreb1-ex4
CRH01	ranoidea-04710_rev3l-ex3
CRH01	anura-05761_uce-1624
CRH01	anura-05739_uce-1376
CRH01	anura-05834_uce-2703
CRH01	anura-05742_uce-1408
CRH01	ranoidea-07359_uce-3584
CRH01	anura-04193_sms-ex1
CRH01	anura-05782_znf423-ex2
CRH01	anura-02519_c11orf95
CRH01	anura-05744_uce-1412
CRH01	ranoidea-00455_eif2ak4-ex2
CRH01	ranoidea-06991_gemin4
CRH01	ranoidea-07334_uce-0708
CRH01	anura-05667_uce-0374
CRH01	anura-05759_uce-1588
CRH01	anura-01316_gemin5-ex1
CRH01	ranoidea-05399_ckap5-ex3
CRH01	anura-00737_loc100488825
CRH01	anura-05776_uce-1920
CRH01	ranoidea-01644_kif2a-ex2
CRH01	anura-03830_anon-2430
CRH01	ranoidea-02510_fat4-ex1
CRH01	ranoidea-05769_lig4-ex1
CRH01	ranoidea-00383_shroom2-ex1
CRH01	ranoidea-03412_msh6-ex1
CRH01	ranoidea-03768_loc100494784
CRH01	ranoidea-03812_fignl1
CRH02	anura-00895_sacs-ex2
CRH02	ranoidea-06991_gemin4
CRH02	anura-01752_klhl11-ex2
CRH02	anura-05623_det1-ex2
CRH02	anura-05761_uce-1624
CRH02	anura-05742_uce-1408
CRH02	anura-04275_klhl8-ex2
CRH02	ranoidea-02359_znf219
CRH02	ranoidea-07359_uce-3584
CRH02	anura-05739_uce-1376
CRH02	anura-00500_aftph-ex2
CRH02	anura-05782_znf423-ex2
CRH02	anura-04222_rreb1-ex4
CRH02	ranoidea-03412_msh6-ex1
CRH02	anura-05760_uce-1598
CRH02	anura-05744_uce-1412
CRH02	ranoidea-07334_uce-0708
CRH02	anura-04193_sms-ex1
CRH02	anura-00737_loc100488825
CRH02	anura-02519_c11orf95
CRH02	anura-05776_uce-1920
CRH02	ranoidea-05769_lig4-ex1
CRH02	ranoidea-03312_anon-1888
CRH02	ranoidea-03812_fignl1
CRH02	ranoidea-05399_ckap5-ex3
CRH02	anura-05759_uce-1588
CRH02	ranoidea-01644_kif2a-ex2
CRH02	anura-00539_camsap3
CRH02	ranoidea-03768_loc100494784
CRH02	anura-05626_pdp1
CRH02	anura-05834_uce-2703
CRH02	anura-05834_uce-2703_1
CRH02	anura-05667_uce-0374
CRH02	anura-05667_uce-0374_1
CRH02	ranoidea-00383_shroom2-ex1
CRH02	ranoidea-00383_shroom2-ex1_1
CRH02	anura-01316_gemin5-ex1
CRH02	anura-01316_gemin5-ex1_1
CRH02	ranoidea-00110_heca
CRH02	ranoidea-00110_heca_1
CRH02	ranoidea-00455_eif2ak4-ex2
CRH02	ranoidea-02510_fat4-ex1
CRH02	ranoidea-02510_fat4-ex1_1
CRH03	anura-00895_sacs-ex2
CRH03	ranoidea-06991_gemin4
CRH03	ranoidea-00110_heca
CRH03	ranoidea-03812_fignl1
CRH03	anura-05623_det1-ex2
CRH03	ranoidea-02359_znf219
CRH03	anura-00500_aftph-ex2
CRH03	anura-05667_uce-0374
CRH03	anura-05742_uce-1408
CRH03	anura-05760_uce-1598
CRH03	anura-05759_uce-1588
CRH03	anura-04222_rreb1-ex4
CRH03	ranoidea-00455_eif2ak4-ex2
CRH03	anura-05782_znf423-ex2
CRH03	anura-04275_klhl8-ex2
CRH03	anura-05739_uce-1376
CRH03	ranoidea-04710_rev3l-ex3
CRH03	anura-02519_c11orf95
CRH03	anura-04193_sms-ex1
CRH03	anura-05744_uce-1412
CRH03	anura-05761_uce-1624
CRH03	ranoidea-07359_uce-3584
CRH03	ranoidea-07334_uce-0708
CRH03	anura-05834_uce-2703
CRH03	ranoidea-02510_fat4-ex1
CRH03	anura-05776_uce-1920
CRH03	anura-00737_loc100488825
CRH03	ranoidea-05399_ckap5-ex3
CRH03	anura-01316_gemin5-ex1
CRH03	ranoidea-01644_kif2a-ex2
CRH03	ranoidea-03768_loc100494784
CRH03	anura-03830_anon-2430
CRH03	anura-01752_klhl11-ex2
CRH03	anura-05626_pdp1
CRH03	ranoidea-05769_lig4-ex1
CRH03	ranoidea-03412_msh6-ex1
CRH03	ranoidea-03312_anon-1888
CRH03	ranoidea-03312_anon-1888_1
CRH03	ranoidea-00383_shroom2-ex1
CRH03	ranoidea-00383_shroom2-ex1_1
CRH03	anura-00539_camsap3
CRH03	anura-00539_camsap3_1
CRH04	anura-00895_sacs-ex2
CRH04	anura-00539_camsap3
CRH04	anura-01752_klhl11-ex2
CRH04	anura-05626_pdp1
CRH04	ranoidea-00110_heca
CRH04	anura-05667_uce-0374
CRH04	anura-05776_uce-1920
CRH04	anura-05623_det1-ex2
CRH04	ranoidea-06991_gemin4
CRH04	anura-04222_rreb1-ex4
CRH04	anura-05760_uce-1598
CRH04	anura-05761_uce-1624
CRH04	anura-05742_uce-1408
CRH04	anura-04275_klhl8-ex2
CRH04	anura-00737_loc100488825
CRH04	anura-02519_c11orf95
CRH04	ranoidea-00455_eif2ak4-ex2
CRH04	ranoidea-05769_lig4-ex1
CRH04	ranoidea-07359_uce-3584
CRH04	ranoidea-07334_uce-0708
CRH04	anura-05744_uce-1412
CRH04	anura-05759_uce-1588
CRH04	anura-05782_znf423-ex2
CRH04	anura-04193_sms-ex1
CRH04	anura-05834_uce-2703
CRH04	anura-01316_gemin5-ex1
CRH04	ranoidea-05399_ckap5-ex3
CRH04	ranoidea-03412_msh6-ex1
CRH04	anura-05739_uce-1376
CRH04	ranoidea-01644_kif2a-ex2
CRH04	anura-03830_anon-2430
CRH04	ranoidea-00725_igsf9-ex2
CRH04	ranoidea-03768_loc100494784
CRH04	ranoidea-00383_shroom2-ex1
CRH04	ranoidea-03812_fignl1
CRH04	anura-00500_aftph-ex2
CRH04	ranoidea-03312_anon-1888
CRH04	ranoidea-03312_anon-1888_1
CRH04	ranoidea-02510_fat4-ex1
CRH04	ranoidea-02510_fat4-ex1_1
CRH04	ranoidea-02359_znf219
CRH04	ranoidea-02359_znf219_1
CRH04	ranoidea-04710_rev3l-ex3
CRH04	ranoidea-04710_rev3l-ex3_1
CRH05	anura-00895_sacs-ex2
CRH05	ranoidea-02359_znf219
CRH05	ranoidea-03812_fignl1
CRH05	anura-00500_aftph-ex2
CRH05	anura-01752_klhl11-ex2
CRH05	anura-05626_pdp1
CRH05	anura-00539_camsap3
CRH05	ranoidea-00110_heca
CRH05	anura-05623_det1-ex2
CRH05	anura-05667_uce-0374
CRH05	anura-05744_uce-1412
CRH05	ranoidea-04710_rev3l-ex3
CRH05	anura-05760_uce-1598
CRH05	anura-04222_rreb1-ex4
CRH05	anura-01316_gemin5-ex1
CRH05	anura-02519_c11orf95
CRH05	anura-04275_klhl8-ex2
CRH05	anura-05834_uce-2703
CRH05	anura-05759_uce-1588
CRH05	anura-05761_uce-1624
CRH05	ranoidea-00455_eif2ak4-ex2
CRH05	anura-04193_sms-ex1
CRH05	ranoidea-06991_gemin4
CRH05	anura-05782_znf423-ex2
CRH05	anura-05742_uce-1408
CRH05	anura-05776_uce-1920
CRH05	anura-00737_loc100488825
CRH05	ranoidea-07334_uce-0708
CRH05	ranoidea-07359_uce-3584
CRH05	ranoidea-05399_ckap5-ex3
CRH05	ranoidea-01644_kif2a-ex2
CRH05	anura-03830_anon-2430
CRH05	anura-05739_uce-1376
CRH05	ranoidea-03412_msh6-ex1
CRH05	ranoidea-02510_fat4-ex1
CRH05	ranoidea-03312_anon-1888
CRH05	ranoidea-05769_lig4-ex1
CRH05	ranoidea-00383_shroom2-ex1
CRH05	ranoidea-03768_loc100494784
Test_dataset_1	ranoidea-01644_kif2a-ex2
Test_dataset_1	ranoidea-05399_ckap5-ex3
Test_dataset_2	ranoidea-01644_kif2a-ex2
Test_dataset_2	ranoidea-05399_ckap5-ex3
