marker	mapped_alignments.CRH01	mapped_alignments.CRH02	mapped_alignments.CRH03	mapped_alignments.CRH04	mapped_alignments.CRH05	samples_supported	minimum_count	total_count	gene
anura-00895_sacs-ex2	49140	9960	17855	46384	46132	5	9960	169471	sacs
anura-03830_anon-2430	4928	2081	2704	2284	2801	5	2081	14798	anon-2430
anura-05626_pdp1	5167	1678	2671	5056	4999	5	1678	19571	pdp1
anura-05623_det1-ex2	4987	1614	2911	4526	4818	5	1614	18856	det1
ranoidea-04710_rev3l-ex3	7774	1579	3057	7199	7319	5	1579	26928	rev3l
anura-05742_uce-1408	3199	1462	2432	3156	2716	5	1462	12965	uce-1408
ranoidea-02359_znf219	7083	1457	2458	7695	6318	5	1457	25011	znf219
anura-00500_aftph-ex2	7352	1398	2151	6815	7060	5	1398	24776	aftph
anura-05760_uce-1598	2467	1386	2135	2470	2554	5	1386	11012	uce-1598
anura-01752_klhl11-ex2	4787	1316	1895	4840	5089	5	1316	17927	klhl11
anura-04222_rreb1-ex4	1611	1841	2640	1316	1797	5	1316	9205	rreb1
ranoidea-02510_fat4-ex1	5108	1315	1990	4029	5103	5	1315	17545	fat4
ranoidea-03412_msh6-ex1	4042	1311	2023	4274	3493	5	1311	15143	msh6
anura-05761_uce-1624	2665	1289	1947	2802	2314	5	1289	11017	uce-1624
ranoidea-03768_loc100494784	11752	1252	1966	6629	6252	5	1252	27851	loc100494784
ranoidea-05769_lig4-ex1	6978	1203	1714	8027	7810	5	1203	25732	lig4
anura-00539_camsap3	4159	1438	1143	4730	4210	5	1143	15680	camsap3
ranoidea-00110_heca	2678	1225	1140	4084	3813	5	1140	12940	heca
ranoidea-03312_anon-1888	3873	1122	1092	4327	4345	5	1092	14759	anon-1888
anura-05667_uce-0374	1885	1083	1473	2391	2082	5	1083	8914	uce-0374
anura-05834_uce-2703	1852	1041	1495	1793	1632	5	1041	7813	uce-2703
anura-00737_loc100488825	2162	968	1470	2673	2388	5	968	9661	loc100488825
