"Alignment","Pass","startSamples","trimalSamples","simSamples","edgeSamples","columnSamples","covSamples","startLength","trimalLength","simLength","edgeLength","columnLength","covLength","startBasepairs","trimalBasepairs","simBasepairs","edgeBasepairs","columnBasepairs","covBasepairs","startGaps","trimalGaps","simGaps","edgeGaps","columnGaps","covGaps","startPerGaps","trimalPerGaps","simPerGaps","edgePerGaps","columnPerGaps","covPerGaps"
"anura-00539_camsap3",TRUE,5,5,5,5,5,5,1901,1883,1883,1883,1883,1883,8751,8727,8727,8727,8727,8727,754,688,688,688,688,688,7.93266701735929,7.30748805098247,7.30748805098247,7.30748805098247,7.30748805098247,7.30748805098247
"anura-00895_sacs-ex2",TRUE,5,5,5,5,5,5,11599,11589,11589,11589,11589,11589,50349,50338,50338,50338,50338,50338,7646,7607,7607,7607,7607,7607,13.1838951633762,13.127966174821,13.127966174821,13.127966174821,13.127966174821,13.127966174821
"anura-01752_klhl11-ex2",TRUE,5,5,5,5,5,5,1619,1609,1609,1609,1609,1609,8075,8045,8045,8045,8045,8045,20,0,0,0,0,0,0.247066090179123,0,0,0,0,0
"anura-02519_c11orf95",TRUE,5,5,5,5,5,5,427,413,413,413,413,413,2079,2049,2049,2049,2049,2049,56,16,16,16,16,16,2.62295081967213,0.774818401937046,0.774818401937046,0.774818401937046,0.774818401937046,0.774818401937046
"anura-04222_rreb1-ex4",TRUE,5,5,5,5,5,5,754,746,746,746,746,746,3714,3692,3692,3692,3692,3692,56,38,38,38,38,38,1.48541114058355,1.01876675603217,1.01876675603217,1.01876675603217,1.01876675603217,1.01876675603217
"anura-05623_det1-ex2",TRUE,5,5,5,5,5,5,761,761,761,761,761,761,3805,3805,3805,3805,3805,3805,0,0,0,0,0,0,0,0,0,0,0,0
"anura-05626_pdp1",TRUE,5,5,5,5,5,5,1636,1625,1625,1625,1625,1625,8166,8125,8125,8125,8125,8125,14,0,0,0,0,0,0.171149144254279,0,0,0,0,0
"anura-05739_uce-1376",TRUE,5,5,5,5,5,5,361,361,361,361,361,361,1805,1805,1805,1805,1805,1805,0,0,0,0,0,0,0,0,0,0,0,0
"anura-05742_uce-1408",TRUE,5,5,5,5,5,5,301,301,301,301,301,301,1505,1505,1505,1505,1505,1505,0,0,0,0,0,0,0,0,0,0,0,0
"anura-05744_uce-1412",TRUE,5,5,5,5,5,5,366,361,361,361,361,361,1804,1803,1803,1803,1803,1803,26,2,2,2,2,2,1.4207650273224,0.110803324099723,0.110803324099723,0.110803324099723,0.110803324099723,0.110803324099723
"anura-05759_uce-1588",TRUE,5,5,5,5,5,5,291,291,291,291,291,291,1455,1455,1455,1455,1455,1455,0,0,0,0,0,0,0,0,0,0,0,0
"anura-05760_uce-1598",TRUE,5,5,5,5,5,5,301,301,301,301,301,301,1505,1505,1505,1505,1505,1505,0,0,0,0,0,0,0,0,0,0,0,0
"anura-05776_uce-1920",TRUE,5,5,5,5,5,5,290,289,289,289,289,289,1446,1445,1445,1445,1445,1445,4,0,0,0,0,0,0.275862068965517,0,0,0,0,0
"anura-05782_znf423-ex2",TRUE,5,5,5,5,5,5,241,241,241,241,241,241,1205,1205,1205,1205,1205,1205,0,0,0,0,0,0,0,0,0,0,0,0
"ranoidea-01644_kif2a-ex2",TRUE,7,7,7,7,7,7,245,237,237,237,237,237,1669,1653,1653,1653,1653,1653,46,6,6,6,6,6,2.68221574344023,0.361663652802893,0.361663652802893,0.361663652802893,0.361663652802893,0.361663652802893
"ranoidea-03412_msh6-ex1",TRUE,5,5,5,5,5,5,2604,2573,2573,2573,2573,2573,11917,11869,11869,11869,11869,11869,1103,996,996,996,996,996,8.4715821812596,7.74193548387097,7.74193548387097,7.74193548387097,7.74193548387097,7.74193548387097
"ranoidea-03768_loc100494784",TRUE,5,5,5,5,5,5,2460,2432,2432,2432,2432,2432,11881,11844,11844,11844,11844,11844,419,316,316,316,316,316,3.40650406504065,2.59868421052632,2.59868421052632,2.59868421052632,2.59868421052632,2.59868421052632
"ranoidea-05399_ckap5-ex3",TRUE,7,7,7,7,7,7,228,205,205,205,205,205,1536,1435,1435,1435,1435,1435,60,0,0,0,0,0,3.7593984962406,0,0,0,0,0
"ranoidea-05769_lig4-ex1",TRUE,5,5,5,5,5,5,2776,2729,2729,2729,2729,2729,12806,12671,12671,12671,12671,12671,1074,974,974,974,974,974,7.73775216138328,7.13814584096739,7.13814584096739,7.13814584096739,7.13814584096739,7.13814584096739
"ranoidea-07334_uce-0708",TRUE,5,5,5,5,5,5,250,246,246,246,246,246,1231,1224,1224,1224,1224,1224,19,6,6,6,6,6,1.52,0.48780487804878,0.48780487804878,0.48780487804878,0.48780487804878,0.48780487804878
