Rank	Locus	Pass	Untrimmed_taxa	Final_taxa	Taxa_removed	Untrimmed_length_bp	Target_region_length_bp	Final_length_bp	Target_region_retained_pct	Untrimmed_mean_missing_pct	Target_region_gap_pct	Final_gap_pct
1	ranoidea-05399_ckap5-ex3	TRUE	7	7	0	1064	228	205	89.91	35.51	3.76	0
2	ranoidea-01644_kif2a-ex2	TRUE	7	7	0	1041	245	237	96.73	36.34	2.68	0.36
3	anura-05623_det1-ex2	TRUE	5	5	0	1434	761	761	100	9.09	0	0
4	anura-01752_klhl11-ex2	TRUE	5	5	0	2234	1619	1609	99.38	9.72	0.25	0
5	ranoidea-03768_loc100494784	TRUE	5	5	0	2892	2460	2432	98.86	9.79	3.41	2.6
6	anura-05626_pdp1	TRUE	5	5	0	2188	1636	1625	99.33	12.75	0.17	0
7	ranoidea-05769_lig4-ex1	TRUE	5	5	0	3208	2776	2729	98.31	13.5	7.74	7.14
8	anura-00895_sacs-ex2	TRUE	5	5	0	12146	11599	11589	99.91	14.08	13.18	13.13
9	anura-00539_camsap3	TRUE	5	5	0	2449	1901	1883	99.05	14.39	7.93	7.31
10	ranoidea-03412_msh6-ex1	TRUE	5	5	0	3058	2604	2573	98.81	15.4	8.47	7.74
11	ranoidea-07334_uce-0708	TRUE	5	5	0	1053	250	246	98.4	15.8	1.52	0.49
12	anura-05759_uce-1588	TRUE	5	5	0	1068	291	291	100	16.25	0	0
13	anura-05760_uce-1598	TRUE	5	5	0	1345	301	301	100	16.57	0	0
14	anura-05782_znf423-ex2	TRUE	5	5	0	1159	241	241	100	17.36	0	0
15	anura-04222_rreb1-ex4	TRUE	5	5	0	1342	754	746	98.94	18.39	1.49	1.02
16	anura-05776_uce-1920	TRUE	5	5	0	983	290	289	99.66	19.02	0.28	0
17	anura-05739_uce-1376	TRUE	5	5	0	1218	361	361	100	19.85	0	0
18	anura-05742_uce-1408	TRUE	5	5	0	1355	301	301	100	20.34	0	0
19	anura-02519_c11orf95	TRUE	5	5	0	1225	427	413	96.72	20.67	2.62	0.77
20	anura-05744_uce-1412	TRUE	5	5	0	1249	366	361	98.63	21.52	1.42	0.11
