Rank	Locus	N_taxa_initial	N_taxa_aligned	Alignment_length	Mean_pct_missing	Status
1	ranoidea-05399_ckap5-ex3	7	7	1064	35.51	aligned
2	ranoidea-01644_kif2a-ex2	7	7	1041	36.34	aligned
3	anura-05623_det1-ex2	5	5	1434	9.09	aligned
4	anura-01752_klhl11-ex2	5	5	2234	9.72	aligned
5	ranoidea-03768_loc100494784	5	5	2892	9.79	aligned
6	anura-05626_pdp1	5	5	2188	12.75	aligned
7	ranoidea-05769_lig4-ex1	5	5	3208	13.5	aligned
8	anura-00895_sacs-ex2	5	5	12146	14.08	aligned
9	anura-00539_camsap3	5	5	2449	14.39	aligned
10	ranoidea-03412_msh6-ex1	5	5	3058	15.4	aligned
11	ranoidea-07334_uce-0708	5	5	1053	15.8	aligned
12	anura-05759_uce-1588	5	5	1068	16.25	aligned
13	anura-05760_uce-1598	5	5	1345	16.57	aligned
14	anura-05782_znf423-ex2	5	5	1159	17.36	aligned
15	anura-04222_rreb1-ex4	5	5	1342	18.39	aligned
16	anura-05776_uce-1920	5	5	983	19.02	aligned
17	anura-05739_uce-1376	5	5	1218	19.85	aligned
18	anura-05742_uce-1408	5	5	1355	20.34	aligned
19	anura-02519_c11orf95	5	5	1225	20.67	aligned
20	anura-05744_uce-1412	5	5	1249	21.52	aligned
